City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,iqaluit,63.7506,-68.5145,13.85,54,40,4.12,CA,1721068391
83,temryuk,45.2722,37.3811,26.12,28,85,4.17,RU,1721068585
84,manokwari,-0.8667,134.0833,25.88,82,85,0.69,ID,1721068586
85,madimba,-10.4,40.3333,22.36,85,4,3.89,TZ,1721068587
86,hadibu,12.65,54.0333,26.26,81,100,8.07,YE,1721068589
87,arawa,-6.2132,155.5367,24.45,89,100,1.6,PG,1721068590
88,colby,39.3958,-101.0524,38.03,25,0,4.63,US,1721068591
89,chabahar,25.2919,60.643,28.81,86,31,4.39,IR,1721068592
90,yulinshi,38.2906,109.7494,20.85,91,24,4.32,CN,1721068594
91,stanley,54.868,-1.6985,17.77,84,0,2.06,GB,1721068595
92,suining,30.508,105.5733,26.25,91,100,2.77,CN,1721068596
93,albany,42.6001,-73.9662,33.84,56,75,0.45,US,1721068597
94,gryazi,52.4966,39.9359,24.77,72,18,2.55,RU,1721068599
95,mejit,10.2753,170.8646,27.85,84,51,10.86,MH,1721068600
96,alaghsas,17.0187,8.0168,32.94,46,20,5.14,NE,1721068603
97,avarua,-21.2078,-159.775,22.03,60,40,3.09,CK,1721068604
98,obock,12.25,43.0833,30.13,42,100,10.23,DJ,1721068605
99,ballito,-29.539,31.2144,11.08,82,75,0.51,ZA,1721068606
100,coquimbo,-29.9533,-71.3436,10.85,87,75,3.6,CL,1721068608
101,tangalle,6.024,80.7911,25.09,81,100,4.91,LK,1721068609
102,churachandpur,24.3333,93.6667,24.0,86,100,1.79,IN,1721068610
103,nar'yan-mar,67.6713,53.087,15.46,91,21,3.04,RU,1721068611
104,prien,30.1819,-93.2738,32.23,69,0,2.06,US,1721068613
105,polyarnyy,69.1989,33.4478,14.56,84,0,1.54,RU,1721068614
106,island harbour,50.724,-1.2758,18.02,94,100,2.24,GB,1721068615
107,yuzhno-sukhokumsk,44.6581,45.6436,29.64,32,5,4.63,RU,1721068616
108,malvan,16.0667,73.4667,25.69,87,100,7.34,IN,1721068618
109,kavaratti,10.5669,72.642,27.31,84,100,9.1,IN,1721068619
110,prince rupert,54.3161,-130.3201,16.83,82,58,8.75,CA,1721068620
111,kralendijk,12.15,-68.2667,32.99,58,40,7.72,BQ,1721068621
